byte_index,start,stop,mean,abs_mean,energy,ptp,value,hw,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7
0,0,93,0.022455424648679553,0.054827946180637965,0.36194983890715804,0.23166503012180328,120,4,0,0,0,1,1,1,1,0
1,93,187,-0.00055269263387519,0.054920731850483635,0.39897106529439974,0.24038085341453552,211,5,1,1,0,0,1,0,1,1
2,187,281,-0.00866855052980951,0.05701358862248487,0.43837137146102995,0.23259276896715164,140,3,0,0,1,1,0,0,0,1
3,281,375,0.006519333894639784,0.06125254534418537,0.4670432097865413,0.2408447265625,21,3,1,0,1,0,1,0,0,0
4,375,468,0.013754305539287186,0.05475837984109818,0.3608877977893579,0.21359863877296448,212,4,0,0,1,0,1,0,1,1
5,468,562,0.007112803132800532,0.04990234373910928,0.3467652985705675,0.24077147990465164,202,4,0,1,0,1,0,0,1,1
6,562,656,-0.000220246003702917,0.057469663908705115,0.44308667512093075,0.23896484076976776,50,3,0,1,0,0,1,1,0,0
7,656,750,-0.002395175709488227,0.05687022127429063,0.4366730012091559,0.23469238728284836,163,4,1,1,0,0,0,1,0,1
8,750,843,-0.0011135961269579267,0.057668640483571315,0.4406717946749907,0.23544921725988388,83,4,1,1,0,0,1,0,1,0
9,843,937,0.014013152812270726,0.05233907475175851,0.3484339135514395,0.236328125,167,5,1,1,1,0,0,1,0,1
10,937,1031,0.0024956883144307326,0.058732702131779425,0.44765884765952957,0.23520506918430328,220,5,0,0,1,1,1,0,1,1
11,1031,1125,0.002104804073361323,0.0570234582472117,0.4356846536536935,0.236572265625,181,5,1,0,1,0,1,1,0,1
12,1125,1218,-0.002284946235557718,0.0574003486213104,0.4355457941126318,0.23395995795726776,16,1,0,0,0,0,1,0,0,0
13,1218,1312,-0.001054220065038572,0.0576023833202,0.4439572806263643,0.23557128757238388,152,3,0,0,0,1,1,0,0,1
14,1312,1406,0.012825174653466711,0.0531592834839954,0.36123302582017025,0.23393554240465164,43,4,1,1,0,1,0,1,0,0
15,1406,1500,0.0039768951419899435,0.05731175189461321,0.42661676384219405,0.23540039360523224,156,4,0,0,1,1,1,0,0,1
16,1500,1593,0.002375777094795178,0.0570217994722708,0.4272045027654761,0.23491210490465164,85,4,1,0,1,0,1,0,1,0
17,1593,1687,-0.0016489879753282095,0.05744343210863782,0.4390541580087486,0.23593750596046448,98,3,0,1,0,0,0,1,1,0
18,1687,1781,-0.001706906678551372,0.05743849725819173,0.44083557780966687,0.23527832329273224,138,3,0,1,0,1,0,0,0,1
19,1781,1875,0.011960293423939259,0.053861057960448114,0.3718054283207268,0.23664550483226776,92,4,0,0,1,1,1,0,1,0
20,1875,1968,0.004892000703201178,0.057170646450412206,0.42087306702655974,0.23527831584215164,125,6,1,0,1,1,1,1,1,0
21,1968,2062,0.0028315117642124916,0.057015147149325054,0.43220764300956055,0.23676757514476776,209,4,1,0,0,0,1,0,1,1
22,2062,2156,-0.00147860902956033,0.05784600437618792,0.447928259404521,0.23835448920726776,138,3,0,1,0,1,0,0,0,1
23,2156,2250,-0.009235787749701635,0.05725928782448272,0.4244112254752813,0.2209472581744194,17,2,1,0,0,0,1,0,0,0
24,2250,2343,0.02344091280904268,0.0574389386105962,0.3828316510736138,0.23093262314796448,35,3,1,1,0,0,0,1,0,0
25,2343,2437,-0.004901772211404874,0.052916441558602645,0.3842256250851486,0.23696289956569672,228,4,0,0,1,0,0,1,1,1
26,2437,2531,0.0038639148350487996,0.05455945598139884,0.390416092451633,0.22963866591453552,115,5,1,1,0,0,1,1,1,0
27,2531,2625,0.0022370036966365544,0.06207587067260744,0.47272536338294036,0.23383789509534836,62,5,0,1,1,1,1,1,0,0
28,2625,2718,0.005545142559385959,0.060041005234515686,0.4352143200140304,0.23652343451976776,34,2,0,1,0,0,0,1,0,0
29,2718,2812,-0.002446600874115594,0.052594123950953836,0.3670918810774271,0.2122802659869194,58,4,0,1,0,1,1,1,0,0
30,2812,2906,0.009031644731603979,0.05297072373294678,0.35144216076830465,0.21169433742761612,182,5,0,1,1,0,1,1,0,1
31,2906,3000,0.012915558733688971,0.055936253541326454,0.38263714017726186,0.21831054985523224,181,5,1,0,1,0,1,1,0,1
